text,player_id,role,message_number,message_irrelevant,time_stamp,trial_id
"V-shaped thick black lines with two circles on the end, they are gray",5,describer,1,FALSE,NA,244
"retangle, but it is round on the bottom, like a top view of a piano",5,describer,1,FALSE,NA,245
"a line in the middle, above it, it kind of looks like a fork, and under the line, there are four curves",5,describer,1,FALSE,NA,246
"kind of looks like a ear, it is gray shaded and has a black outline",5,describer,1,FALSE,NA,247
"two razor blades on top of each other, almost overlapping",5,describer,1,FALSE,NA,248
"a white rectangle, or a table with two half circles in it, a circle is splited and white and gray bars form stripes",5,describer,1,FALSE,NA,249
an arrow with an x in it and a line on its right side coming out of it,5,describer,1,FALSE,NA,250
"lots of lines, horizontal and vertical lines crossing each other, maybe looks like a music sheet",5,describer,1,FALSE,NA,251
"two half circles, but one of them is upside down, and between them, it is gray shaded",5,describer,1,FALSE,NA,252
"looks like a D , but some branches coming out of it",5,describer,1,FALSE,NA,253
"V coming out from a circle, kind of looks like two horns",5,describer,1,FALSE,NA,254
kind of looks like an animal with a horn,5,describer,1,FALSE,NA,255
looks like a turtle or it could be an animal it has two eyes with a circle the stripes,5,describer,1,FALSE,NA,256
like a box within another box but the 3d blocks that you like draw,5,describer,1,FALSE,NA,257
a circle has a horizontal piece a v it kind of looks like a y with a circle at the end the broom going through it,5,describer,1,FALSE,NA,258
two kind of looks like zigzag lines,5,describer,1,FALSE,NA,259
like an x with like zigzag lines going down,5,describer,1,FALSE,NA,260
looks like an octopus kind of it has all the arms,5,describer,1,FALSE,NA,261
kind of looks like a person it has two v's a head,5,describer,1,FALSE,NA,262
like circles circles there is a diamond,5,describer,1,FALSE,NA,263
kind of looks like grass,5,describer,1,FALSE,NA,264
like a leg maybe with stripes going through it,5,describer,1,FALSE,NA,265
looks like a really bad wig,5,describer,1,FALSE,NA,266
a circle with a part of it shaded a lot of circles in it,5,describer,1,FALSE,NA,267
a circle ovals coming down,5,describer,1,FALSE,NA,268
looks like a book with two cirlces on the end,5,describer,1,FALSE,NA,269
like a flower,5,describer,1,FALSE,NA,270
like a circle shaded in at the bottom with like a vertical line a horizontal line on top of that like squiggly,5,describer,1,FALSE,NA,271
looks like a musical note with the vertical line a triangle,5,describer,1,FALSE,NA,272
like a bullseye with two lines going out in each direction,5,describer,1,FALSE,NA,273
a circle with a really black dot in the middle of it with like a crown kind of on the side,5,describer,1,FALSE,NA,274
like a half circle with three squiggly lines coming down,5,describer,1,FALSE,NA,275
like a circle the bottom half is like dark black the top is grey,5,describer,1,FALSE,NA,276
like an upside down teepee,5,describer,1,FALSE,NA,277
kind of looks like a piece of wood with a bunch of vertical lines on top,5,describer,1,FALSE,NA,278
like hallowed out v's,5,describer,1,FALSE,NA,279
looks like a plumbing part with like the two circles,5,describer,1,FALSE,NA,280
"like four total circles but two of them are bunched up, one group on top one on bottom",5,describer,1,FALSE,NA,281
looks like honeybee nest,5,describer,1,FALSE,NA,282
like a circle with a vertical line on top on the bottom it has a vertical line broken with square,5,describer,1,FALSE,NA,283
the half circle with the vertical line going out,5,describer,1,FALSE,NA,284
kind of like a circle cut into a pizza,5,describer,1,FALSE,NA,285
like a ball of spikes,5,describer,1,FALSE,NA,286
the cursive l's,6,describer,1,FALSE,NA,287
"like two waves, not the cursive l's",6,describer,1,FALSE,NA,288
some shapes but it looks like it has a dome on top a sideways t,6,describer,1,FALSE,NA,289
a giant c sitting on the ground,6,describer,1,FALSE,NA,290
the circular thing that appears to have a mouth,6,describer,1,FALSE,NA,291
a trojan horse only it looks like a birrd,6,describer,1,FALSE,NA,292
the paw print of a dog with only three fingers,6,describer,1,FALSE,NA,293
a cookie,6,describer,1,FALSE,NA,294
"some leaves going vertically, like fancy vine going vertically",6,describer,1,FALSE,NA,295
looks like leaves kind of going horizontally not vertically,6,describer,1,FALSE,NA,296
"looks kind of evil with some horns, in the shape of a v sort of",6,describer,1,FALSE,NA,297
a thing with an x through it,6,describer,1,FALSE,NA,298
a bunch of popcorn kernels,6,describer,1,FALSE,NA,299
looks like a crumpled up paper bag,6,describer,1,FALSE,NA,300
the face of the villain in pochohantas with a squiggle s coming out of it,6,describer,1,FALSE,NA,301
a monacle,6,describer,1,FALSE,NA,302
